docname,topic,proportion
Privacy_Rights_Cleaned.aws.csv:7265,000,0.743578
Privacy_Rights_Cleaned.aws.csv:7265,001,0.256422
Privacy_Rights_Cleaned.aws.csv:7300,000,0.710621
Privacy_Rights_Cleaned.aws.csv:7300,001,0.289379
Privacy_Rights_Cleaned.aws.csv:7335,001,0.558365
Privacy_Rights_Cleaned.aws.csv:7335,000,0.441635
Privacy_Rights_Cleaned.aws.csv:7370,000,1.0
Privacy_Rights_Cleaned.aws.csv:7405,000,1.0
Privacy_Rights_Cleaned.aws.csv:7440,000,1.0
Privacy_Rights_Cleaned.aws.csv:7475,003,1.0
Privacy_Rights_Cleaned.aws.csv:7510,001,1.0
Privacy_Rights_Cleaned.aws.csv:7545,002,0.525238
Privacy_Rights_Cleaned.aws.csv:7545,000,0.474762
Privacy_Rights_Cleaned.aws.csv:7580,003,1.0
Privacy_Rights_Cleaned.aws.csv:7615,000,1.0
Privacy_Rights_Cleaned.aws.csv:7650,004,1.0
Privacy_Rights_Cleaned.aws.csv:7685,002,1.0
Privacy_Rights_Cleaned.aws.csv:7720,001,0.662949
Privacy_Rights_Cleaned.aws.csv:7720,000,0.337051
Privacy_Rights_Cleaned.aws.csv:7755,003,1.0
Privacy_Rights_Cleaned.aws.csv:7790,004,1.0
Privacy_Rights_Cleaned.aws.csv:7825,004,1.0
Privacy_Rights_Cleaned.aws.csv:7860,000,1.0
Privacy_Rights_Cleaned.aws.csv:7895,000,1.0
Privacy_Rights_Cleaned.aws.csv:7930,004,1.0
Privacy_Rights_Cleaned.aws.csv:7965,000,0.618759
Privacy_Rights_Cleaned.aws.csv:7965,001,0.208767
Privacy_Rights_Cleaned.aws.csv:7965,004,0.087297
Privacy_Rights_Cleaned.aws.csv:7965,002,0.050935
Privacy_Rights_Cleaned.aws.csv:7965,003,0.034242
Privacy_Rights_Cleaned.aws.csv:8000,002,1.0
Privacy_Rights_Cleaned.aws.csv:8035,000,1.0
Privacy_Rights_Cleaned.aws.csv:8070,000,1.0
Privacy_Rights_Cleaned.aws.csv:8105,000,1.0
Privacy_Rights_Cleaned.aws.csv:8140,002,1.0
Privacy_Rights_Cleaned.aws.csv:10,001,0.589677
Privacy_Rights_Cleaned.aws.csv:10,000,0.410323
Privacy_Rights_Cleaned.aws.csv:45,003,1.0
Privacy_Rights_Cleaned.aws.csv:80,000,0.538192
Privacy_Rights_Cleaned.aws.csv:80,001,0.316341
Privacy_Rights_Cleaned.aws.csv:80,004,0.117301
Privacy_Rights_Cleaned.aws.csv:80,002,0.028167
Privacy_Rights_Cleaned.aws.csv:115,001,0.662424
Privacy_Rights_Cleaned.aws.csv:115,000,0.337574
Privacy_Rights_Cleaned.aws.csv:150,003,1.0
Privacy_Rights_Cleaned.aws.csv:185,002,1.0
Privacy_Rights_Cleaned.aws.csv:220,001,1.0
Privacy_Rights_Cleaned.aws.csv:255,000,0.665651
Privacy_Rights_Cleaned.aws.csv:255,004,0.250957
Privacy_Rights_Cleaned.aws.csv:255,001,0.083389
Privacy_Rights_Cleaned.aws.csv:290,000,0.742363
Privacy_Rights_Cleaned.aws.csv:290,002,0.257637
Privacy_Rights_Cleaned.aws.csv:325,002,1.0
Privacy_Rights_Cleaned.aws.csv:360,000,1.0
Privacy_Rights_Cleaned.aws.csv:395,001,0.70307
Privacy_Rights_Cleaned.aws.csv:395,000,0.217105
Privacy_Rights_Cleaned.aws.csv:395,003,0.079825
Privacy_Rights_Cleaned.aws.csv:430,000,1.0
Privacy_Rights_Cleaned.aws.csv:465,003,1.0
Privacy_Rights_Cleaned.aws.csv:500,000,0.785402
Privacy_Rights_Cleaned.aws.csv:500,001,0.131256
Privacy_Rights_Cleaned.aws.csv:500,004,0.054075
Privacy_Rights_Cleaned.aws.csv:500,003,0.029267
Privacy_Rights_Cleaned.aws.csv:535,000,0.695644
Privacy_Rights_Cleaned.aws.csv:535,001,0.304358
Privacy_Rights_Cleaned.aws.csv:570,000,1.0
Privacy_Rights_Cleaned.aws.csv:605,000,1.0
Privacy_Rights_Cleaned.aws.csv:640,000,1.0
Privacy_Rights_Cleaned.aws.csv:675,000,1.0
Privacy_Rights_Cleaned.aws.csv:710,002,0.578747
Privacy_Rights_Cleaned.aws.csv:710,000,0.421253
Privacy_Rights_Cleaned.aws.csv:745,000,1.0
Privacy_Rights_Cleaned.aws.csv:780,000,1.0
Privacy_Rights_Cleaned.aws.csv:815,001,1.0
Privacy_Rights_Cleaned.aws.csv:850,001,1.0
Privacy_Rights_Cleaned.aws.csv:885,000,1.0
Privacy_Rights_Cleaned.aws.csv:920,004,1.0
Privacy_Rights_Cleaned.aws.csv:955,001,0.513304
Privacy_Rights_Cleaned.aws.csv:955,000,0.486696
Privacy_Rights_Cleaned.aws.csv:990,000,0.848455
Privacy_Rights_Cleaned.aws.csv:990,002,0.151545
Privacy_Rights_Cleaned.aws.csv:1025,001,1.0
Privacy_Rights_Cleaned.aws.csv:1060,002,1.0
Privacy_Rights_Cleaned.aws.csv:1095,003,1.0
Privacy_Rights_Cleaned.aws.csv:1130,004,1.0
Privacy_Rights_Cleaned.aws.csv:1165,000,1.0
Privacy_Rights_Cleaned.aws.csv:1200,000,1.0
Privacy_Rights_Cleaned.aws.csv:1235,001,1.0
Privacy_Rights_Cleaned.aws.csv:1270,000,1.0
Privacy_Rights_Cleaned.aws.csv:1305,004,1.0
Privacy_Rights_Cleaned.aws.csv:1340,000,1.0
Privacy_Rights_Cleaned.aws.csv:1375,000,1.0
Privacy_Rights_Cleaned.aws.csv:1410,002,1.0
Privacy_Rights_Cleaned.aws.csv:1445,002,0.500942
Privacy_Rights_Cleaned.aws.csv:1445,001,0.499058
Privacy_Rights_Cleaned.aws.csv:1480,000,1.0
Privacy_Rights_Cleaned.aws.csv:1515,001,1.0
Privacy_Rights_Cleaned.aws.csv:1550,000,0.609293
Privacy_Rights_Cleaned.aws.csv:1550,002,0.390707
Privacy_Rights_Cleaned.aws.csv:1585,002,1.0
Privacy_Rights_Cleaned.aws.csv:1620,000,1.0
Privacy_Rights_Cleaned.aws.csv:1655,001,1.0
Privacy_Rights_Cleaned.aws.csv:1690,003,1.0
Privacy_Rights_Cleaned.aws.csv:1725,000,1.0
Privacy_Rights_Cleaned.aws.csv:1760,000,0.455379
Privacy_Rights_Cleaned.aws.csv:1760,001,0.392336
Privacy_Rights_Cleaned.aws.csv:1760,004,0.071631
Privacy_Rights_Cleaned.aws.csv:1760,003,0.046697
Privacy_Rights_Cleaned.aws.csv:1760,002,0.033956
Privacy_Rights_Cleaned.aws.csv:1795,002,1.0
Privacy_Rights_Cleaned.aws.csv:1830,001,0.872783
Privacy_Rights_Cleaned.aws.csv:1830,000,0.109331
Privacy_Rights_Cleaned.aws.csv:1830,003,0.017886
Privacy_Rights_Cleaned.aws.csv:1865,003,1.0
Privacy_Rights_Cleaned.aws.csv:1900,004,1.0
Privacy_Rights_Cleaned.aws.csv:1935,000,1.0
Privacy_Rights_Cleaned.aws.csv:1970,000,0.698068
Privacy_Rights_Cleaned.aws.csv:1970,003,0.301932
Privacy_Rights_Cleaned.aws.csv:2005,000,1.0
Privacy_Rights_Cleaned.aws.csv:2040,000,1.0
Privacy_Rights_Cleaned.aws.csv:2075,000,1.0
Privacy_Rights_Cleaned.aws.csv:2110,003,1.0
Privacy_Rights_Cleaned.aws.csv:2145,000,0.826341
Privacy_Rights_Cleaned.aws.csv:2145,001,0.173659
Privacy_Rights_Cleaned.aws.csv:2180,004,1.0
Privacy_Rights_Cleaned.aws.csv:2215,001,1.0
Privacy_Rights_Cleaned.aws.csv:2250,000,0.502579
Privacy_Rights_Cleaned.aws.csv:2250,001,0.257045
Privacy_Rights_Cleaned.aws.csv:2250,004,0.144395
Privacy_Rights_Cleaned.aws.csv:2250,003,0.065614
Privacy_Rights_Cleaned.aws.csv:2250,002,0.030367
Privacy_Rights_Cleaned.aws.csv:2285,000,1.0
Privacy_Rights_Cleaned.aws.csv:2320,000,1.0
Privacy_Rights_Cleaned.aws.csv:2355,001,1.0
